栄養素id,栄養素,食材,100gあたり含有量,単位,一食の目安量g,一食あたり,一日の目安量,割合%,レベル,タグ,食品番号,含有量の出典,基準値の出典,確認メモ
protein,たんぱく質,たら,17.6,g,80,14.08,50.0,28.2,2,,10205,確認済,2025年版・女性30-49・推奨量,成分表八訂 ＜魚類＞ （たら類） まだら 生／目安量は暫定
protein,たんぱく質,うなぎ,17.1,g,80,13.68,50,27.4,2,,10067,確認済,2025年版・女性30-49・推奨量,10067 ＜魚類＞ うなぎ 養殖 生
protein,たんぱく質,鶏もも,16.6,g,80,13.28,50,26.6,2,,11221,確認済,2025年版・女性30-49・推奨量,11221 ＜鳥肉類＞ にわとり ［若どり・主品目］ もも 皮つき 生
protein,たんぱく質,えび,19.6,g,60,11.76,50.0,23.5,2,,10415,確認済,2025年版・女性30-49・推奨量,成分表八訂 ＜えび・かに類＞ （えび類） バナメイえび 養殖 生／目安量は暫定
protein,たんぱく質,豚ばら,14.4,g,80,11.52,50,23.0,2,,11129,確認済,2025年版・女性30-49・推奨量,11129 ＜畜肉類＞ ぶた ［大型種肉］ ばら 脂身つき 生
protein,たんぱく質,ツナ缶,16.0,g,70,11.2,50.0,22.4,2,,10260,確認済,2025年版・女性30-49・推奨量,成分表八訂 ＜魚類＞ （まぐろ類） 缶詰 水煮 フレーク ライト／目安量は暫定
protein,たんぱく質,厚揚げ,10.7,g,100,10.7,50.0,21.4,2,,04039,確認済,2025年版・女性30-49・推奨量,成分表八訂 だいず ［豆腐・油揚げ類］ 生揚げ／目安量は暫定
protein,たんぱく質,木綿豆腐,7.0,g,150,10.5,50.0,21.0,2,,04032,確認済,2025年版・女性30-49・推奨量,成分表八訂 だいず ［豆腐・油揚げ類］ 木綿豆腐／目安量は暫定
fat,脂質,木綿豆腐,4.9,g,150,7.35,57,12.9,2,,04032,確認済,2025年版・女性30-49・目標量25%E×2050kcal÷9で換算,増補2023照合・取りこぼし追加
protein,たんぱく質,玄米,6.8,g,150,10.2,50,20.4,2,,01080,確認済,2025年版・女性30-49・推奨量,01080 こめ ［水稲穀粒］ 玄米
protein,たんぱく質,たこ,16.4,g,60,9.84,50.0,19.7,2,,10361,確認済,2025年版・女性30-49・推奨量,成分表八訂 ＜いか・たこ類＞ （たこ類） まだこ 生／目安量は暫定
protein,たんぱく質,白米,6.1,g,150,9.15,50,18.3,2,,01083,確認済,2025年版・女性30-49・推奨量,01083 こめ ［水稲穀粒］ 精白米 うるち米
protein,たんぱく質,ほたて,13.5,g,60,8.1,50.0,16.2,2,,10311,確認済,2025年版・女性30-49・推奨量,成分表八訂 ＜貝類＞ ほたてがい 生／目安量は暫定
protein,たんぱく質,絹ごし豆腐,5.3,g,150,7.95,50.0,15.9,2,,04033,確認済,2025年版・女性30-49・推奨量,成分表八訂 だいず ［豆腐・油揚げ類］ 絹ごし豆腐／目安量は暫定
protein,たんぱく質,低脂肪乳,3.8,g,200,7.6,50.0,15.2,2,,13005,確認済,2025年版・女性30-49・推奨量,成分表八訂 ＜牛乳及び乳製品＞ （液状乳類） 加工乳 低脂肪／目安量は暫定
protein,たんぱく質,納豆,16.5,g,45,7.42,50,14.8,2,,04046,確認済,2025年版・女性30-49・推奨量,04046 だいず ［納豆類］ 糸引き納豆
protein,たんぱく質,豆乳,3.6,g,200,7.2,50.0,14.4,2,,04052,確認済,2025年版・女性30-49・推奨量,成分表八訂 だいず ［その他］ 豆乳 豆乳／目安量は暫定
protein,たんぱく質,油揚げ,23.4,g,30,7.02,50.0,14.0,2,,04040,確認済,2025年版・女性30-49・推奨量,成分表八訂 だいず ［豆腐・油揚げ類］ 油揚げ 生／目安量は暫定
protein,たんぱく質,スキムミルク,34.0,g,20,6.8,50.0,13.6,2,,13010,確認済,2025年版・女性30-49・推奨量,成分表八訂 ＜牛乳及び乳製品＞ （粉乳類） 脱脂粉乳／目安量は暫定
protein,たんぱく質,牛乳,3.3,g,200,6.6,50,13.2,2,,13003,確認済,2025年版・女性30-49・推奨量,13003 ＜牛乳及び乳製品＞ （液状乳類） 普通牛乳
protein,たんぱく質,卵,12.2,g,50,6.1,50,12.2,2,,12004,確認済,2025年版・女性30-49・推奨量,12004 鶏卵 全卵 生
protein,たんぱく質,枝豆,11.7,g,50,5.85,50,11.7,3,,06015,確認済,2025年版・女性30-49・推奨量,06015 えだまめ 生
protein,たんぱく質,レンズ豆,11.2,g,50,5.6,50.0,11.2,3,,04094,確認済,2025年版・女性30-49・推奨量,成分表八訂 レンズまめ 全粒 ゆで／目安量は暫定
protein,たんぱく質,オートミール,13.7,g,40,5.48,50,11.0,3,,01004,確認済,2025年版・女性30-49・推奨量,01004 えんばく オートミール
